item_id,level,name,reading,english_name,type,srs_stage_group,srs_stage,document_url,reason_skipped
3999,17,愛,あい,Love,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%84%9B,known
4015,17,梅,うめ,Ume,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%A2%85,known
4037,17,説明,せつめい,Explanation,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%AA%AC%E6%98%8E,known
4044,17,警察,けいさつ,Police,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%AD%A6%E5%AF%9F,known
4065,18,借りる,かりる,To Borrow,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%80%9F%E3%82%8A%E3%82%8B,known
4102,18,忘れる,わすれる,To Forget,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%BF%98%E3%82%8C%E3%82%8B,known
4136,18,胸,むね,Chest,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%83%B8,known
4137,18,脳,のう,Brain,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%84%B3,known
4151,18,友達,ともだち,Friend,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%8F%8B%E9%81%94,known
4215,19,歴史,れきし,History,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%AD%B4%E5%8F%B2,known
4226,19,続く,つづく,To Continue,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%B6%9A%E3%81%8F,known
4228,19,舌,した,Tongue,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%88%8C,known
4230,19,若い,わかい,Young,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%8B%A5%E3%81%84,known
4283,20,嫌,いや,Dislike,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%AB%8C,known
4358,19,笛,ふえ,Flute,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%AC%9B,known
4494,22,罰,ばつ,Penalty,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%BD%B0,known
4507,22,宮,みや,Imperial Palace,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%AE%AE,known
4544,22,藤,ふじ,Wisteria,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%97%A4,known
4548,22,値,あたい,Value,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%80%A4,known
4558,22,姿,すがた,Figure,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%A7%BF,known
4619,23,崎,さき,Cape,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%B4%8E,known
4632,23,優しい,やさしい,Gentle,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%84%AA%E3%81%97%E3%81%84,known
4649,23,城,しろ,Castle,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%9F%8E,known
4703,24,型,かた,Model,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%9E%8B,known
4718,24,管,くだ,Pipe,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%AE%A1,known
4726,24,量,りょう,Quantity,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E9%87%8F,known
4729,24,境,さかい,Boundary,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%A2%83,known
4736,24,質,しつ,Quality,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%B3%AA,known
4737,24,質問,しつもん,Question,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%B3%AA%E5%95%8F,known
4761,24,株,かぶ,Stock,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%A0%AA,known
4781,25,票,ひょう,Ballot,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%A5%A8,known
4922,26,我,われ,I,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%88%91,known
4940,26,汗,,Sweat,vocabulary,,2,https://www.wanikani.com/vocabulary/%E6%B1%97,known
4955,26,獣,けもの,Beast,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%8D%A3,known
4962,26,筆,ふで,Writing Brush,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%AD%86,known
4991,26,鉛,なまり,Lead,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E9%89%9B,known
5927,15,払う,はらう,To Pay,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%89%95%E3%81%86,known
6529,25,衣,ころも,Clothes,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%A1%A3,known
7278,15,丈,たけ,Height,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E4%B8%88,known
7505,26,故,ゆえ,Reason,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%95%85,known
7539,14,性,せい,Gender,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%80%A7,known
7542,15,軍,ぐん,Army,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%BB%8D,known
7543,15,列,れつ,Line,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%88%97,known
7544,15,伝,つて,Intermediary,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E4%BC%9D,known
7545,16,急,きゅう,Sudden,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%80%A5,known
7546,17,兵,へい,Soldier,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%85%B5,known
7547,17,無理,むり,Impossible,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%84%A1%E7%90%86,known
7548,17,側,そば,Side,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%81%B4,known
7553,20,機,き,Machine,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%A9%9F,known
7653,24,額,がく,Framed Picture,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E9%A1%8D,known
7756,16,門,もん,Gate,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E9%96%80,known
9452,5,rib-cage,,Rib Cage,radical,,5,https://www.wanikani.com/radicals/rib-cage,known
9457,21,餌,えさ,Feed,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E9%A4%8C,known
3896,Initiation,15,食べ放題,たべほうだい,All You Can Eat,vocabulary,0,https://www.wanikani.com/vocabulary/%E9%A3%9F%E3%81%B9%E6%94%BE%E9%A1%8C,
